title;id;price;sale price;availability;image link;additional image link;all clicks;brand;color;cost of goods sold;custom label 0;custom label 1;custom label 2;custom label 3;custom label 4;description;google product category;gtin;identifier exists;link;material;mpn;product height;product highlight;product length;product type;product weight;product width
"Battery Powered High-Lift Skid Truck, 3300 lb. Capacity, 21""W x 44""L Forks Global Industrial";989066;2549.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/32569764.jpg;https://images.globalindustrial.com/images/500x500/241719_01.jpg,https://images.globalindustrial.com/images/500x500/241719_02.jpg,https://images.globalindustrial.com/images/500x500/241719_03.jpg,https://images.globalindustrial.com/images/500x500/241719_04.jpg,https://images.globalindustrial.com/images/500x500/241719_05.jpg,https://images.globalindustrial.com/images/500x500/241719_06.jpg,https://images.globalindustrial.com/images/500x500/241719_07.jpg,https://images.globalindustrial.com/images/500x500/32569764.jpg;94 203;Global Industrial;Red;;in stock;Boost;1000+;Fixed Freight;[Exclusive Brands];"&checkmark; 3300 lb payload capacity  &checkmark; Slip-resistant, ergonomic handle improves operator comfort  &checkmark; Support legs automatically extend when in use for stability    Help limit or eliminate injury on the job in warehouses and distribution centers with this Global Industrial Battery Powered High-Lift Skid Truck. An ergonomic loop handle places all the controls within easy reach and is coated in a soft plastic material that minimizes vibration and stays a comfortable temperature even in cold and hot conditions. Made of durable steel with red & black scratch-resistant enamel paint, this battery-powered jack truck raises single-faced pallets or skids up to 3300 lbs to a comfortable working height with ease. Limited 1-Year Warranty.    23-second lift time at maximum capacity 3-5/16"" lowered height, 31"" raised height 3"" load & 6"" steer polyurethane wheels Includes a 12V battery & external charger Integrated battery level indicator 21""W x 44""L forks with 21"" distance across forks No assembly required";Business & Industrial;707022459945;yes;https://www.globalindustrial.com/p/electric-high-lift-skid-jack-truck-3300-lb-cap-21-x-45-forks;Steel;989066;24.8125 in;"Support legs automatically extend when in use for stability,""Slip-resistant, ergonomic handle improves operator comfort"",3300 lb payload capacity";44 in;Pallet Jacks & Trucks > High-Lift Pallet Jack Trucks > Carts & Trucks;;21 in
"Battery Powered High-Lift Skid Truck, 3300 lb. Capacity, 27""W x 44""L Forks Global Industrial";241719;2549.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/241719.jpg;https://images.globalindustrial.com/images/500x500/241719.jpg,https://images.globalindustrial.com/images/500x500/241719_01.jpg,https://images.globalindustrial.com/images/500x500/241719_02.jpg,https://images.globalindustrial.com/images/500x500/241719_03.jpg,https://images.globalindustrial.com/images/500x500/241719_04.jpg,https://images.globalindustrial.com/images/500x500/241719_05.jpg,https://images.globalindustrial.com/images/500x500/241719_06.jpg,https://images.globalindustrial.com/images/500x500/241719_07.jpg;87 659;Global Industrial;Red;;in stock;Boost;1000+;Fixed Freight;Standard;"&checkmark; 3300 lb payload capacity  &checkmark; Slip-resistant, ergonomic handle improves operator comfort  &checkmark; Support legs automatically extend when in use for stability    Help limit or eliminate injury on the job in warehouses and distribution centers with this Global Industrial Battery Powered High-Lift Skid Truck. An ergonomic loop handle places all the controls within easy reach and is coated in a soft plastic material that minimizes vibration and stays a comfortable temperature even in cold and hot conditions. Made of durable steel with red & black scratch-resistant enamel paint, this battery-powered jack truck raises single-faced pallets or skids up to 3300 lbs to a comfortable working height with ease. Limited 1-Year Warranty.    15-second lift time  3-1/2"" lowered height, 31-1/2"" raised height 3"" load & 7"" steer polyurethane wheels Includes a 12V battery & external charger Integrated battery level indicator 27""W x 44""L forks with 27"" distance across forks No assembly required";503771;707022459952;yes;https://www.globalindustrial.com/p/battery-operated-high-li-skid-truck-3300-lb-capacity-27-x-44;Steel;241719;;"Support legs automatically extend when in use for stability,""Slip-resistant, ergonomic handle improves operator comfort"",3300 lb payload capacity";44 in;Pallet Jacks & Trucks > High-Lift Pallet Jack Trucks > Carts & Trucks;;27 in
Big Joe E30 Electric Power Pallet Jack Truck, 3000 Lb. Capacity;242071;3999.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/242071X.jpg;https://images.globalindustrial.com/images/500x500/242071X_05.jpg,https://images.globalindustrial.com/images/500x500/242071X_06.jpg,https://images.globalindustrial.com/images/500x500/242071X.jpg,https://images.globalindustrial.com/images/500x500/242071X_01.jpg,https://images.globalindustrial.com/images/500x500/242071X_02.jpg,https://images.globalindustrial.com/images/500x500/242071X_03.jpg,https://images.globalindustrial.com/images/500x500/242071X_04.jpg,https://images.globalindustrial.com/images/500x500/242071X_07.jpg;26 024;Big Joe;Yellow;;in stock;Boost;R3Overall;Fixed Freight;;Increase efficiency in the warehouse or your material handling facility with the Big Joe Electric Power Pallet Jack Truck. It is the most compact, fully-electric pallet jack and is ideal for use in confined spaces such as the back of trailers and in narrow aisles or small warehouses. It has high-torque drive and lift motors, a multi-function handle which allows operation with either hand and features a thumb throttle to lift or lower controls, safety reversing switch, and horn. Maintenance free batteries and an onboard smart charger allow for easy charging in standard 120V wall outlets. Automatic dead-man emergency brake cuts power when handle is released. Includes battery discharge indicator LED and key switch. Rolls smoothly on polyurethane drive and load wheels. 6-Month Limited Warranty. This unit is not recommended to run in temperatures lower than 40 F and higher than 105 F.;Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;;yes;https://www.globalindustrial.com/p/big-joe-electric-power-pallet-truck-pallet-jack-3000-lb-cap;Steel;E30-65AH;49 in;;63.75 in;Pallet Jacks & Trucks > Powered Pallet Jacks & Trucks > Carts & Trucks;;27 in
"Premium Narrow Aisle Manual Pallet Jack, 5500 lb. Cap, 18""W x 48""L Forks Global Industrial";988945;385.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/988945.jpg;https://images.globalindustrial.com/images/500x500/988945.jpg,https://images.globalindustrial.com/images/500x500/988945_01.jpg,https://images.globalindustrial.com/images/500x500/988945_02.jpg,https://images.globalindustrial.com/images/500x500/988945_03.jpg,https://images.globalindustrial.com/images/500x500/988945_04.jpg,https://images.globalindustrial.com/images/500x500/988945_05.jpg,https://images.globalindustrial.com/images/500x500/988945_06.jpg,https://images.globalindustrial.com/images/500x500/988945_07.jpg;16 525;Global Industrial;Blue;;in stock;Boost;1000+;Fixed Freight;[Exclusive Brands];"&checkmark; 5500 lb. weight capacity  &checkmark; Steel construction with durable powder coat finish   &checkmark; 3-function hand control: Raise, Neutral, Lower    Ideal for use in close quarters, the Global Industrial Premium Narrow Aisle Manual Pallet Jack is equipped with a strong & durable steel frame and forks that measure just 18 across that allows users to move & maneuver pallets or skids up to 5500-pounds through hard-to-maneuver areas. This pallet jack features a steel roller chain mechanism, reinforced tapered forks, and a sealed, leak-proof exclusive Endura pump with a hardened chrome piston and ram for smooth, trouble-free operation. A manual control for the hydraulic system & mobility improves reliability, reduces required maintenance, and eliminates the need for daily recharging. The smooth-rolling polyurethane steer and load wheels ensure floors remain unmarked and the spring-loaded, self-righting handle enhances comfort and ease-of-use. Limited 1-Year Warranty.     3 lowered height, 7-11/16 raised height Tapered 6""W x 48""L forks with just 18 across forks  Two 3"" load roller & two 7 steer wheels Articulated 3/4"" axle to smoothly move across uneven surfaces Bypass valve helps protect against overload  210 steering arc No assembly required";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;707022340960;yes;https://www.globalindustrial.com/p/premium-narrow-aisle-18-fork-pallet-jack-truck-18-x-48-5500-lb-capacity;Steel;988945;;3-function hand control: Raise, Neutral, Lower,Steel construction with durable powder coat finish,5500 lb. weight capacity;60 in;Pallet Jacks & Trucks > Manual Pallet Jacks & Trucks > Carts & Trucks;;18 in
Big Joe D40 Electric Power Pallet Jack Truck, 4000 Lb. Capacity, AC Drive 85AH;988020;4799.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/31309897.jpg;https://images.globalindustrial.com/images/500x500/31309897.jpg,https://images.globalindustrial.com/images/500x500/988020A.jpg,https://images.globalindustrial.com/images/500x500/988020B.jpg;7 158;Big Joe;Yellow;;in stock;Boost;R3Overall;[Carts & Trucks] {1};;"For over 50 years, Big Joe products have improved worker productivity and efficiency. Power propelled, power lift truck is the logical step-up from a manual truck, as it outperforms two to three operators with manual jacks. 24V AC high-torque drive and lift motors. Multi-function handle allows operation with either hand and features thumb throttle, lift/lower controls, safety reversing switch and horn. Automatic dead-man emergency brake cuts power when handle released. Includes 85Ah AGM (absorbed gas mat) maintenance free batteries, battery charger, combination battery discharge/hour meter gauge and key switch. Rolls smoothly on polyurethane steer and load wheels. Features 27""W x 45""L forks, 3-"" lowered height and 7-"" raised height. 4000 lb. capacity model has 0.9KW drive and 2.2KW lift motors. Designed to handle slopes up to 10% when Unloaded, 6% when Loaded. 2 Year Limited Warranty.";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;;yes;https://www.globalindustrial.com/p/big-joe-174-d-40-electric-power-pallet-truck-jack-4000-lb-cap-ac-drive-85ah;Steel;D40;47 in;;64 in;Pallet Jacks & Trucks > Powered Pallet Jacks & Trucks > Carts & Trucks;;27 in
"Foldable Manual Pallet Jack, 2200 lb. Capacity, 15""W x 31-1/2""L Forks Global Industrial";615163;339.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/615163.jpg;https://images.globalindustrial.com/images/500x500/615163.jpg,https://images.globalindustrial.com/images/500x500/615163_01.jpg,https://images.globalindustrial.com/images/500x500/615163_02.jpg,https://images.globalindustrial.com/images/500x500/615163_03.jpg,https://images.globalindustrial.com/images/500x500/615163_04.jpg,https://images.globalindustrial.com/images/500x500/615163_05.jpg;6 477;Global Industrial;Blue;;in stock;Boost;1000+;Fixed Freight;;"&checkmark; Handle and nose plates fold for compact storage    &checkmark; Forks raise by hand-operated hydraulic, with foot pedal to lower   &checkmark; Heavy 2200-pound payload capacity      Global Industrial Foldable Manual Pallet Jack has the ease & versatility of a conventional full-sized model with a space-saving design that allows it to be stored out of the way without taking up valuable square footage on the floor. With a respectable 2200-pound payload capacity it can be used for moving heavy equipment, appliances, cartons of files & paper, and more. For easy storage, the hand truck's handle and the front nose plates on each fork fold and lock into place, so it takes up less space than traditional, non-folding trucks. Limited 1-year warranty.       Long-life polyurethane wheels  Locking pin holds handle in both the open and folded position for safety  Folded fork length of just 22.2"" & extended fork length of 31.5""  Pallet jack weighs just 66-pounds and requires no assembly";Business & Industrial;707022509046;yes;https://www.globalindustrial.com/p/foldable-manual-pallet-jack-2200-lb-capacity-15-in-w-31-1-2-in-l-forks;Steel;MF;44.1875 in;Forks raise by hand-operated hydraulic, with foot pedal to lower,Heavy 2200-pound payload capacity,Handle and nose plates fold for compact storage;44.1875 in;Pallet Jacks & Trucks > Manual Pallet Jacks & Trucks > Carts & Trucks;;15 in
"Manual High-Lift Skid Jack Truck, 2200 lb. Capacity, 20-1/2""W x 45""L Forks Global Industrial";988944;895.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/988944.jpg;https://images.globalindustrial.com/images/500x500/988944_06.jpg,https://images.globalindustrial.com/images/500x500/988944.jpg,https://images.globalindustrial.com/images/500x500/988944_01.jpg,https://images.globalindustrial.com/images/500x500/988944_02.jpg,https://images.globalindustrial.com/images/500x500/988944_03.jpg,https://images.globalindustrial.com/images/500x500/988944_04.jpg,https://images.globalindustrial.com/images/500x500/988944_05.jpg,https://images.globalindustrial.com/images/500x500/988944_07.jpg;5 278;Global Industrial;Red;;in stock;Boost;1000+;[Carts & Trucks] {1};[Exclusive Brands];"&checkmark; 2200 lb. weight capacity   &checkmark; Forks can be raised from 3-1/2"" to 31-1/2""H   &checkmark; Manual operation       Eliminate injury on the job with this Global Industrial High-Lift Skid Jack Truck. This heavy-duty truck is designed with a 4mm thick reinforced steel plate and automatic support legs for added strength and stability. Engineered for heavy lifting, this machine raises and lowers single-faced pallets or skids with ease, handling up to 2,200 lbs., making it the ideal choice for your warehouse needs.      60 strokes to reach maximum height  6"" polyurethane steer wheels and 3"" load rollers  2-Year Limited Warranty     Note: For use with single-faced pallets, skids, and bulk containers only.";503771;707022340953;yes;https://www.globalindustrial.com/p/manual-high-li-skid-jack-truck-2200-lb-capacity-20-5-x-45-forks;Steel;988944;;"Forks can be raised from 3-1/2"" to 31-1/2""H,2200 lb. weight capacity,Manual operation";60 in;Pallet Jacks & Trucks > High-Lift Pallet Jack Trucks > Carts & Trucks;;20.5 in
"Manual Lift Stacker, 59"" Lift, 880 Lb. Capacity Global Industrial";988935;845.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/988935.jpg;https://images.globalindustrial.com/images/500x500/988935.jpg,https://images.globalindustrial.com/images/500x500/988935_01.jpg,https://images.globalindustrial.com/images/500x500/988935_02.jpg,https://images.globalindustrial.com/images/500x500/988935_03.jpg,https://images.globalindustrial.com/images/500x500/988935_04.jpg,https://images.globalindustrial.com/images/500x500/988935_05.jpg,https://images.globalindustrial.com/images/500x500/988935_07.jpg,https://images.globalindustrial.com/images/500x500/988935_06.jpg;4 349;Global Industrial;Yellow;;in stock;Boost;1000+;[Carts & Trucks] {2};[Exclusive Brands];"&checkmark; Supports up to 880 lbs as much as 59"" high  &checkmark; Adjustable fork width from 8-1/2"" to 19-1/2""  &checkmark; Ergonomic foot pump lifts & positions loads    The Global Industrial Manual Lift Stacker can be used to lift files, file boxes, computer equipment, and mailroom supplies weighing up to 880-pounds as much as 59"" above the floor. Designed with a compact 22-1/2"" wide frame that fits through standard doors, it is ideal for applications where aisles and congested areas prevent the use of larger equipment.The lift truck is made with a durable yellow powder coat steel frame, corrosion-resistant chrome-plated steel rails & loop handle, and 25-1/2"" long heavy-duty steel forks. A simple foot-operated hydraulic pump raises the forks. Assembly required. Limited 1-Year Warranty.     Height range from 3-1/2"" to 59""  Powder coat finish is resistant to scratches & corrosion Simple control knob sets the mechanism from lift to lower (2) 5"" polyurethane swivel wheels with brakes, (2) 3"" phenolic fixed load casters  Optional platform (#988936) available separately";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;707022330091;yes;https://www.globalindustrial.com/p/best-value-manual-li-stacker-880-lb-cap-59-li;Steel;988935;70 in;"Supports up to 880 lbs as much as 59"" high,""Adjustable fork width from 8-1/2"""" to 19-1/2"""""",Ergonomic foot pump lifts & positions loads";37 in;Lift Trucks > Stackers > Carts & Trucks;;22.5 in
"Self-Propelled Electric Pallet Jack, 3300 lb Cap, 28-1/2""W x 47""L Fork Global Industrial";988294;3849.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/988294.jpg;https://images.globalindustrial.com/images/500x500/988294.jpg,https://images.globalindustrial.com/images/500x500/988294_01.jpg,https://images.globalindustrial.com/images/500x500/988294_02.jpg,https://images.globalindustrial.com/images/500x500/988294_03.jpg,https://images.globalindustrial.com/images/500x500/988294_04.jpg,https://images.globalindustrial.com/images/500x500/988294_05.jpg,https://images.globalindustrial.com/images/500x500/988294_31.jpg,https://images.globalindustrial.com/images/500x500/988294_32.jpg;3 796;Global Industrial;Yellow;;in stock;Boost;R3Overall;Fixed Freight;[Exclusive Brands];"&checkmark; 4400 lb. weight capacity  &checkmark; Variable-speed with automatic safety release braking system   &checkmark; Multi-function hand control provides access to all functions    Increase productivity & reduce strain with the Global Industrial Self-Propelled Electric Pallet Jack Truck. Equipped with polyurethane drive and load wheels, this electric pallet jack rolls smoothly on surfaces in warehouses, grocery stores, and distribution centers. With just the push of a button, it smoothly lifts and lowers pallets & skids up to 4400-pounds. It includes a Curtis controller for smooth & responsive control, an electromagnetic disc brake with an automatic dead-man feature, and an emergency battery disconnect. 48V, 45 Ah batteries power the high-torque 24V DC drive & lift motors that allows operators up to 8 hours of service per charge. When needed the batteries are recharged using an integral 120V AC charger. Limited 1-Year Warranty.     6-5/16W x 47L forks with 24-13/16 across forks Integrated battery level indicator Keyed switch limits access to approved personnel 2.5 MPH top loaded speed, 3.5 MPH top unloaded speed 3-5/16"" lowered and 8"" raised heights Two load and three steer non-marking or marring polyurethane wheels 57-11/16 turning radius No assembly required Not for use on inclines or declines greater than 4 Note: This unit is not recommended to run in temperatures lower than 40 F or higher than 105 F";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;707022330923;yes;https://www.globalindustrial.com/p/global-industrial-self-propelled-electric-power-pallet-jack-truck-3300-lb-cap;Steel;988294;51.5 in;Variable-speed with automatic safety release braking system,Multi-function hand control provides access to all functions,4400 lb. weight capacity;65.5 in;Pallet Jacks & Trucks > Powered Pallet Jacks & Trucks > Carts & Trucks;;28.5 in
Elkay EZH2O Filtered Water Bottle Refilling Station, Wall Mount, Gray, LZS8WSLK;B384182N;1379.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/B384182N.jpg;https://images.globalindustrial.com/images/500x500/B384182N.jpg,https://images.globalindustrial.com/images/500x500/B384182N_01.jpg,https://images.globalindustrial.com/images/500x500/B384182N_02.jpg,https://images.globalindustrial.com/images/500x500/B384182N_03.jpg,https://images.globalindustrial.com/images/500x500/B384182N_04.jpg,https://images.globalindustrial.com/images/500x500/B384182N_05.jpg,https://images.globalindustrial.com/images/500x500/B384182N_06.jpg,https://images.globalindustrial.com/images/500x500/B384182N_07.jpg;3 312;Elkay;Gray;;in stock;Boost;1000+;Free Shipping;;"&checkmark; Touchless sensor activated bottle filler with 20-second shut-off timer    &checkmark; Space-saving ADA-compliant design   &checkmark; Flexi-guard bubbler protects against injury and microorganisms      Deliver clean water and enhance sustainability by minimizing dependency on disposable plastic bottles with the Elkay EZH2O Bottle Filling Station. This bottle filler features a sanitary, no-touch sensor that dispenses cool water into bottles at a quick fill-rate of 1.1 GPM. For those without a bottle to fill, the easy-touch front and side push-bar controls can be pressed by the forearm or elbow to provide water at a laminar flow from the flexi-guard bubbler. The unit's display center has LED bars that flash to alert when a filter change is needed and a green ticker that counts the number of disposable single-use plastic bottles saved from waste. Rated for indoor use, this refrigerated bottle filling station is an ideal solution for offices, gyms, schools, and more. ADA Compliant & NSF Certified.     3,000-gallon capacity filter is certified to NSF 42 & 53 for lead, Class 1 particulate, chlorine, taste, & odor reduction  Real drain system eliminates standing water  Silver ion antimicrobial protection on key plastic components to inhibit the growth of mold and mildew   Rated for indoor use";Business & Industrial;94902469904;yes;https://www.globalindustrial.com/p/elkay-ezh2o-lzs8wslk-water-bottle-refilling-station-wall-mount-gray;Stainless Steel;LZS8WSLK;40.8125 in;Touchless sensor activated bottle filler with 20-second shut-off timer,Space-saving ADA-compliant design,Flexi-guard bubbler protects against injury and microorganisms;;Drinking Fountains & Coolers > Indoor Drinking Fountains & Bottle Fillers > Indoor Bottle Filling Stations > Plumbing & Pumps;;19.75 in
